TrialNumber,EncodedImage,Directory,Filename,Condition,MemoryProbe,ExpressionIntensity,TestImage,ActorGender,ActorRace,ActorID,FacialExpression1,FacialExpression2,Block
6,Yes,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_010_O/F_010_O_neutral_happy_closed,F_010_O_neutral_happy_closed13.jpg,Perception,Target,13,No,Female,Other,10,neutral,happy_closed,1
6,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_010_O/F_010_O_neutral_happy_closed,F_010_O_neutral_happy_closed15.jpg,Perception,Target,15,No,Female,Other,10,neutral,happy_closed,1
6,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_010_O/F_010_O_neutral_happy_closed,F_010_O_neutral_happy_closed17.jpg,Perception,Target,17,No,Female,Other,10,neutral,happy_closed,1
6,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_010_O/F_010_O_neutral_happy_closed,F_010_O_neutral_happy_closed19.jpg,Perception,Target,19,Yes,Female,Other,10,neutral,happy_closed,1
6,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_010_O/F_010_O_neutral_happy_closed,F_010_O_neutral_happy_closed21.jpg,Perception,Target,21,No,Female,Other,10,neutral,happy_closed,1
6,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_010_O/F_010_O_neutral_happy_closed,F_010_O_neutral_happy_closed23.jpg,Perception,Target,23,No,Female,Other,10,neutral,happy_closed,1
6,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_010_O/F_010_O_neutral_happy_closed,F_010_O_neutral_happy_closed25.jpg,Perception,Target,25,No,Female,Other,10,neutral,happy_closed,1
6,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_010_O/F_010_O_neutral_happy_closed,F_010_O_neutral_happy_closed27.jpg,Perception,Target,27,No,Female,Other,10,neutral,happy_closed,1
6,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_010_O/F_010_O_neutral_happy_closed,F_010_O_neutral_happy_closed29.jpg,Perception,Target,29,No,Female,Other,10,neutral,happy_closed,1
7,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_002_O/F_002_O_neutral_happy_closed,F_002_O_neutral_happy_closed01.jpg,Memory,Lure,1,No,Female,Other,2,neutral,happy_closed,1
7,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_002_O/F_002_O_neutral_happy_closed,F_002_O_neutral_happy_closed03.jpg,Memory,Lure,3,No,Female,Other,2,neutral,happy_closed,1
7,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_002_O/F_002_O_neutral_happy_closed,F_002_O_neutral_happy_closed05.jpg,Memory,Lure,5,No,Female,Other,2,neutral,happy_closed,1
7,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_002_O/F_002_O_neutral_happy_closed,F_002_O_neutral_happy_closed07.jpg,Memory,Lure,7,No,Female,Other,2,neutral,happy_closed,1
7,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_002_O/F_002_O_neutral_happy_closed,F_002_O_neutral_happy_closed09.jpg,Memory,Lure,9,No,Female,Other,2,neutral,happy_closed,1
7,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_002_O/F_002_O_neutral_happy_closed,F_002_O_neutral_happy_closed11.jpg,Memory,Lure,11,No,Female,Other,2,neutral,happy_closed,1
7,Yes,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_002_O/F_002_O_neutral_happy_closed,F_002_O_neutral_happy_closed13.jpg,Memory,Lure,13,No,Female,Other,2,neutral,happy_closed,1
7,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_002_O/F_002_O_neutral_happy_closed,F_002_O_neutral_happy_closed15.jpg,Memory,Lure,15,No,Female,Other,2,neutral,happy_closed,1
7,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_002_O/F_002_O_neutral_happy_closed,F_002_O_neutral_happy_closed17.jpg,Memory,Lure,17,No,Female,Other,2,neutral,happy_closed,1
7,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_002_O/F_002_O_neutral_happy_closed,F_002_O_neutral_happy_closed19.jpg,Memory,Lure,19,No,Female,Other,2,neutral,happy_closed,1
7,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_002_O/F_002_O_neutral_happy_closed,F_002_O_neutral_happy_closed21.jpg,Memory,Lure,21,Yes,Female,Other,2,neutral,happy_closed,1
7,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_002_O/F_002_O_neutral_happy_closed,F_002_O_neutral_happy_closed23.jpg,Memory,Lure,23,No,Female,Other,2,neutral,happy_closed,1
